new_words,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
currency teaching people how to living in a globalization work,-1.632,-1.408,-1.549,-1.433,-0.89,-0.834,-1.403,-1.782,-1.361,-0.869,-1.091,-1.055,0.382,-0.111,-0.842,-1.131,4,4,2,1,3,1,3,4,2,1,2,1
this room so like I think that there is a lot of demand,-1.505,-1.379,-1.549,-1.38,-1.019,-1.18,-3.076,-2.058,-1.467,-1.568,-0.582,-1.393,-0.333,-0.806,-3.058,-2.046,2,3,2,1,1,1,2,3,2,1,2,1
the for the Yemen people yeah it is TRUE that,-1.608,-1.21,-1.256,-1.322,1.264,0.102,-1.125,-1.454,-1.609,-1.578,-1.487,-1.409,-0.89,-0.997,-2.178,-1.966,4,3,1,1,1,1,3,3,1,1,1,1
be 4 to positive then Warden - I do agree that immigrants,-0.806,-0.411,-0.889,-1.087,0.814,0.504,-0.191,-0.04,-1.699,-1.483,-1.582,-1.417,-0.902,-1.199,-2.91,-1.903,3,3,2,1,1,1,3,3,2,1,2,1
more rule to the religion do you have you study the Cora,1.165,2.547,1.482,-0.182,9.187,11.909,1.291,1.379,-0.974,-0.643,-0.449,-1.088,2.73,3.087,-0.407,0.144,4,3,2,1,2,1,3,3,2,1,1,1
I'm not really sure what you mean by we have an unstable economy,-1.027,-0.994,-1.098,-1.133,1.735,0.858,0.482,-1.216,-1.288,-1.464,-1.492,-1.192,-0.318,-0.986,0.212,-0.863,2,3,1,1,2,1,3,3,1,1,1,1
each other for example Yemen is in the Middle East so it's,-1.136,-1.392,-1.532,-1.336,0.179,-0.532,-0.562,-1.426,-1.638,-1.552,-1.584,-1.427,-1.024,-1.14,-2.765,-1.901,3,2,1,1,1,1,3,4,1,1,1,1
us but we just still have don't know or just not being currently like,-0.714,-1.113,-0.781,-1.069,1.853,1.243,0.508,-0.65,-0.966,-1.381,-1.333,-1.339,0.056,-0.697,-0.554,-1.78,4,3,1,1,1,1,3,3,1,1,2,1
in Yemen didn't choose to start in Yemen with their life right and so if,-1.443,-1.264,-1.426,-1.279,0.196,-0.378,-1.351,-1.552,-1.352,-1.402,-1.359,-1.236,0.093,-0.766,-2.04,-1.98,3,4,2,2,2,1,3,3,3,1,1,1
main point is that,-1.363,-0.72,-1.163,-1.15,0.843,0.265,0.739,-0.389,-1.393,-1.342,-1.424,-1.222,0.438,0.143,1.726,-1.131,3,3,1,1,1,1,2,2,1,1,1,1
many other middle is confused horribly who have National,-0.711,-0.538,-1.158,-0.941,-0.767,-1.075,-0.794,-1.418,-1.621,-1.349,-1.488,-1.401,-0.7,-0.557,-1.125,-1.774,3,3,1,1,1,1,4,3,2,1,1,1
getting the support of America and they became this huge terrorist groups like,0.999,0.748,0.823,-0.913,5.385,9.645,-0.069,-0.788,-0.79,-0.842,-1.317,-1.181,1.019,0.175,-1.273,-1.286,4,3,2,2,2,1,3,3,2,2,2,1
some big refugees went to Europe to take jobs and,-1.257,-0.574,-1.351,-1.027,0.524,-0.45,-0.422,-0.849,-0.814,-0.615,-0.986,-1.158,1.49,-0.003,-0.918,-1.23,3,3,1,1,1,1,3,3,2,1,3,1
so it is already hard for Koreans to find jobs but now the refugee,-1.492,-0.755,-1.304,-1.293,0.615,-0.188,-1.145,-0.969,-1.496,-1.072,-1.393,-1.316,0.494,-0.643,-1.814,-1.627,3,3,2,2,2,1,3,3,2,1,2,1
if we look at Korea Korea is actually not voluntary,-1.375,-1.244,-1.199,-1.146,0.758,0.903,-0.104,-1.149,-0.342,0.879,-0.124,-0.344,4.919,4.167,-1.107,-0.354,4,3,1,1,3,1,3,2,1,1,2,1
they are abusing the law and so there was a petition to the blue house,-1.395,-1.144,-1.297,-1.243,0.564,-0.402,-1.807,-1.317,-1.325,-1.032,-1.383,-1.272,-0.374,-0.831,-0.15,-1.449,3,4,1,1,1,1,3,3,1,1,1,1
starts to come through yet and I think that,-1.432,-1.393,-1.407,-1.384,0.486,-0.518,-2.824,-1.893,-1.554,-1.233,-1.551,-1.365,-0.898,-1.174,-1.649,-1.553,2,3,1,1,1,1,3,3,1,1,2,1
okay so I think many of the problems like economic problems,-1.519,-1.103,-1.536,-1.365,-0.415,-0.906,-2.712,-1.779,-1.302,-1.383,-1.402,-1.252,-0.424,-0.587,0.085,-1.294,2,3,1,2,2,1,3,3,1,1,1,1
if you do love all those refugees because you know they're from the are upside people and then there are a lot,-1.683,-1.45,-1.57,-1.389,-0.767,-1.008,-2.324,-1.808,-1.409,-1.432,-1.517,-1.347,-0.703,-0.895,-1.874,-1.666,3,3,2,1,1,1,3,3,2,1,3,1
and the most powerful country in the world without the Multicultural multi culture of salad,-1.235,-0.863,-1.306,-1.189,-0.129,-0.325,0.477,-1.567,-1.13,-0.658,-1.391,-1.194,-0.484,-0.331,-0.79,-0.686,2,2,1,1,2,1,2,3,1,1,1,1
of the very wealthy have the variables we have a lot of money but the,-1.191,-1.172,-1.333,-1.276,-0.069,-0.046,-1.504,-1.786,-1.563,-1.361,-1.418,-1.313,-0.475,0.225,-1.908,-1.766,3,3,1,1,1,1,2,3,1,1,1,1
people with extremism which is a very valid argument I agree America especially has been facing this,-1.376,-1.347,-1.291,-1.33,-0.354,-0.118,-1.818,-1.43,-1.505,-1.229,-1.418,-1.233,-0.042,-0.463,-0.598,-1.206,4,3,2,1,2,1,2,3,2,1,2,1
there are people at the very bottom of the society chain that struggle to live,-0.334,-0.737,-0.619,-0.844,2.925,4.235,0.634,-0.461,-1.573,-1.523,-1.518,-1.427,-0.312,-0.915,-1.897,-1.912,3,3,1,1,2,1,2,3,1,1,1,1
so I think if you think about your population first and there are some so very that,-0.956,-1.112,-1.378,-1.084,-0.009,0.978,0.269,-1.298,-1.342,-1.445,-1.268,-1.141,0.515,-0.352,-2.152,-1.776,4,3,1,1,1,1,3,4,2,1,1,1
kind of feel like well this is not Korea so,-1.618,-0.985,-1.594,-1.431,-0.931,-1.145,-2.711,-1.899,-0.947,-1.263,-1.45,-1.306,-0.393,-0.458,0.348,-1.716,2,3,1,2,2,1,3,3,1,1,1,1
lives in this in this in this in this chaotic time period in,-0.977,-1.21,-0.944,-1.035,1.064,0.805,0.552,-1.186,-1.316,-1.376,-1.223,-1.193,-0.267,-0.119,-1.397,-0.722,2,3,1,1,1,1,2,3,1,1,1,1
compared to a lot of other countries for accepting many were refugees from many diverse backgrounds,-1.384,-0.873,-1.45,-1.329,-0.772,-1.108,-0.443,-1.606,-1.449,-1.306,-1.395,-1.303,-0.393,-0.724,-1.327,-1.027,3,3,2,1,2,1,3,3,2,1,1,1
Philippines Unfortunately they were terrorist attack in the South,-1.497,-1.265,-1.492,-1.348,-0.616,-0.777,-0.295,-1.329,-1.659,-1.587,-1.305,-1.422,-1.002,-1.176,-1.18,-1.999,3,3,1,1,2,1,2,3,2,1,2,1
make exceptions for those if Yemen crisis,-1.028,-1.048,-1.327,-1.139,1.434,-0.4,0.267,-0.818,-1.242,-1.308,-1.219,-1.332,0.022,-0.356,-1.905,-1.687,3,3,1,1,1,1,3,3,1,1,1,1
so it's kind of Epic buyers to sing by on the numbers and the last,-1.488,-1.364,-1.293,-1.264,0.512,0.564,-0.838,-0.732,-1.509,-1.627,-1.47,-1.418,-0.589,-0.909,-2.916,-2.082,3,4,2,2,2,1,3,2,2,1,1,1
have these this inter connect enter Europe,-1.418,-1.355,-1.145,-1.295,-0.127,-0.559,-2.337,-1.825,-1.416,-1.489,-1.406,-0.82,-0.096,-0.061,-1.669,-1.546,3,3,2,1,2,1,3,4,3,1,1,1
because as you know there's a there are some cases like,-1.461,-1.31,-1.069,-1.274,0.285,-0.424,-1.255,-1.184,-1.482,-1.113,-1.558,-1.369,-0.586,-1.08,-1.539,-0.37,3,3,2,2,2,1,3,3,2,2,2,2
can't help themselves who need help I think that,-0.813,-0.587,-1.039,-1.133,2.231,1.855,-0.182,-0.241,-1.475,-1.329,-1.231,-1.102,0.075,-0.32,-0.259,-1.561,4,3,2,1,1,1,3,3,2,1,1,1
right overall once again I want to repeat that I'm,-0.758,-0.26,-0.209,1.413,-0.496,0.054,-1.577,-0.32,-0.419,0.341,-0.817,-0.763,11.069,2.182,-0.251,-1.227,3,3,1,1,1,1,3,3,2,1,2,1
it looked also mention that they restricted to Jeju Island which is already,-1.579,-1.416,-1.568,-1.383,-0.705,-0.974,-1.263,-1.889,-0.944,-1.303,-1.391,-1.273,0.049,-0.697,-1.212,-1.046,3,3,2,1,2,1,3,3,2,1,1,1
also lots of European countries and lots of European countries most of,-1.386,-0.958,-1.391,-1.282,1.723,-0.432,0.139,-0.323,-1.097,-1.322,-1.345,-1.283,-0.276,-0.045,-1.981,-1.665,4,3,1,1,2,1,3,3,1,1,1,1
UN immigration but that does not mean that they have to take them a I haven't,-1.218,-1.167,-1.397,-1.215,-0.008,0.288,-0.716,-0.617,-1.284,-1.403,-0.982,-1.054,-0.481,-0.628,-0.575,-1.293,3,3,1,1,1,1,3,3,1,1,1,1
I agree with your idea that,-1.39,-1.535,-1.43,-1.367,-0.553,-0.923,-2.575,-1.961,-1.323,-0.608,-1.307,-1.1,0.201,-0.061,-1.486,-1.454,3,4,2,1,1,1,3,3,1,1,1,1
is needed to prepare the Korean citizens to accept,-1.468,-1.301,-1.383,-1.282,-0.632,-0.294,-1.14,-1.656,-1.233,-1.057,-1.083,-1.218,1.288,0.571,-0.522,-1.001,3,3,1,2,1,1,3,3,1,1,2,1
some man and then also the reason issue,-1.415,-0.86,-1.391,-1.31,0.312,-0.13,-0.973,-1.617,0.111,0.143,-0.095,-0.574,3.798,3.425,0.102,-0.769,3,3,2,2,2,1,4,3,3,1,1,1
are endangered by certain issues related to their,-1.419,0.221,-1.002,-1.114,0.534,-0.014,1.076,-1.423,-1.085,-0.688,-1.367,-1.134,0.305,-0.541,-1.05,-0.987,3,3,2,2,2,1,2,3,2,1,2,1
but but Korea also part,-1.695,-1.474,-1.566,-1.34,-0.907,-1.078,-2.517,-1.828,-1.359,-1.121,-1.369,-1.267,-0.413,-0.781,-0.521,-1.405,3,3,1,1,2,1,3,3,1,1,1,1
actually come from the younger generation of Korea even despite the more liberal,-0.275,-0.975,-0.938,-1.043,2.015,2.131,-0.223,-0.337,-1.604,-1.484,-1.573,-1.4,-1.061,-1.276,-2.93,-1.986,3,3,2,1,2,1,3,3,1,1,2,1
work,-1.42,-1.142,-1.424,-1.288,-0.19,-0.236,-0.687,-1.386,0.189,-0.297,-0.924,-0.906,3.41,0.923,-0.408,-1.24,3,4,1,1,1,1,4,3,1,1,1,1
it's like I think they just want to know,-0.837,-0.416,-0.69,-1.071,3.498,1.939,1.018,0.41,-1.07,-0.961,-1.06,-1.1,1.137,0.388,-0.582,-1.779,3,3,1,1,1,1,3,3,1,1,2,1
so a lot of young people are trying to get into these cheap laborers to if he,-1.624,-1.501,-1.531,-1.376,-0.308,-0.792,-2.652,-1.949,-1.284,-1.458,-1.214,-1.271,-0.291,-0.047,-0.942,-1.64,3,3,1,2,1,1,3,3,1,1,1,1
okay so it's our your first point was that you can you tell me your first one again,-1.573,-1.398,-1.526,-1.303,-0.975,-1.124,-2.863,-1.986,-0.562,-0.632,-0.956,-1.086,1.35,1.442,-0.053,-0.908,3,3,1,1,1,1,3,3,1,1,1,1
the government holds the responsibility to educate at least people,0.033,-0.317,-0.782,-0.657,-0.394,-0.264,0.32,-0.425,-0.977,-0.878,-1.218,-1.126,0.235,-0.396,-0.564,-1.307,4,3,1,1,2,1,3,3,1,1,1,1
I think I heard also the case where,-1.405,-1.379,-1.389,-1.25,-0.004,-0.553,-1.38,-1.17,-1.568,-1.436,-1.482,-1.331,-0.677,-0.879,-2.12,-1.858,3,3,2,2,1,1,3,3,1,1,1,1
that the country's somehow bound to respect even if a lot of countries,-1.603,-1.391,-1.296,-1.261,0.926,-0.224,-0.802,-1.273,-1.45,-1.586,-1.509,-1.392,0.025,-0.644,-2.675,-1.931,3,3,2,2,2,1,4,3,3,1,1,1
do have an obligation to fairly examine and if they are lawful but if you have,-0.912,0.606,-0.242,-0.326,-0.355,-0.583,0.541,0.704,-0.881,-0.828,-1.221,-0.973,0.675,0.687,-1.451,-1.39,3,3,1,1,2,1,3,3,1,1,2,1
or developed country we have or the government's have to educate the,-1.216,-1.245,-1.423,-1.076,-0.625,-0.611,-1.921,-1.83,-1.198,-1.206,-1.409,-1.192,-0.043,-0.822,-2.109,-1.15,4,4,2,1,3,1,2,4,2,1,2,1
yeah I think if they do something wrong or cause some clams,-1.617,-1.099,-1.421,-1.302,-0.27,-0.182,-1.968,-1.143,-1.575,-1.507,-1.254,-1.37,-0.023,0.379,-1.198,-1.814,4,3,1,1,1,1,3,4,2,1,2,1
I,-1.157,-0.707,-0.962,-1.247,2.235,1.509,-0.093,-0.004,-1.611,-1.217,-1.197,-1.13,1.106,-0.228,-1.128,-1.512,2,3,1,1,1,1,3,3,1,1,1,1
a comic activity something like building a new apartment or some other places and there is even a,-1.525,-1.474,-1.449,-1.35,-0.153,-0.108,-2.608,-1.706,-1.618,-1.422,-1.13,-1.396,-0.766,-0.718,-1.726,-2.011,2,3,1,1,2,1,2,3,1,1,1,1
of Korean people the refugees should be kind,-1.725,-1.664,-1.624,-1.47,-1.115,-1.233,-2.948,-2.085,-1.728,-1.644,-1.641,-1.475,-1.199,-1.343,-2.171,-2.054,3,3,1,1,1,1,3,3,1,1,3,1
like to say like sick,-1.379,-1.415,-1.424,-1.251,-0.061,-0.475,-0.402,-1.527,-1.113,-1.108,-1.355,-1.152,0.562,-0.203,1.288,-0.311,2,3,1,1,1,1,3,3,1,1,2,1
view however South Korea still has signed signed the 1991,-1.514,-1.461,-1.547,-1.362,-0.962,-0.983,-1.937,-1.778,-1.267,-1.368,-1.446,-1.318,-0.839,-0.533,-1.002,-1.861,2,3,1,1,1,1,3,3,1,1,2,1
because at least it's better than staying in their home country,-1.582,-1.468,-1.493,-1.339,-0.365,-0.872,-1.203,-1.776,-1.073,-1.172,-1.263,-1.146,0.292,0.146,0.737,-1.109,3,4,1,1,1,1,3,3,1,1,1,1
that tree has signed impact in 1994 which is more than 20 years ago,0.324,0.07,2.086,1.063,0.527,0.151,1.284,-0.134,-1.529,-1.432,-1.52,-1.27,-0.388,-0.874,-2.652,-1.959,3,3,1,1,1,1,4,3,1,1,1,1
or Chinese or Japanese or other East Asian Europeans,-0.403,0.246,-1.252,-1.005,-0.498,-0.532,1.627,-0.412,-0.902,-1.069,-0.85,-0.792,0.958,0.408,-0.202,-1.086,4,4,1,1,1,1,3,3,1,1,2,1
are very slow conservative about all these issues so I'm not saying that we of this whole,-1.362,-0.8,-1.442,-1.404,-0.717,-1.091,-0.63,-1.552,-0.912,-1.038,-1.39,-1.244,0.095,0.281,-1.252,-1.442,2,3,1,1,2,1,2,3,1,1,1,1
if the there are a lot so the bezel it is like too long,-0.372,-0.444,-1.089,-1.052,1.831,0.439,0.255,-0.396,-1.348,-1.3,-1.112,-1.305,0.765,0.016,-0.858,-1.481,4,3,2,1,2,1,3,4,2,1,2,1
have you studied can't help themselves through need help I think that the government needs to help them more and and you said that extreme people add more rule to the religion do you how do you study the Koran have you studied Muslim religion because I studied the religion,-1.43,-1.323,-1.406,-1.344,-0.137,-0.685,-0.751,-1.778,-1.3,-0.947,-1.052,-1.199,0.672,1.242,-1.648,-1.704,4,3,2,1,2,1,3,3,2,1,1,1
and I believe that such educational and in terms of,-1.482,-1.273,-1.368,-1.233,-0.889,-0.887,-0.877,-1.731,-1.33,-0.819,-0.23,-1.059,3.001,0.897,1.273,-1.031,3,2,1,1,1,1,3,3,1,1,2,1
they're only here to seek shelter they're not here to terrorize or anything like that it can't cats eat for see anything like that but North Koreans coming,-1.384,-1.389,-1.53,-1.32,-0.85,-1.17,-2.7,-1.587,-1.161,-1.18,-1.176,-1.228,-0.375,-0.351,-1.019,-1.384,3,3,1,1,1,1,4,3,2,1,1,1
guessing they if they if they remain if they,-1.568,-1.455,-1.499,-1.374,-0.765,-1.009,-2.129,-1.371,-1.295,-1.224,-0.506,-0.454,-0.365,0.12,-1.295,-1.525,3,3,1,1,2,1,2,3,2,1,2,1
yemenis refugees haven't caused critical research paper so the prediction is,-0.764,-0.947,-1.324,-1.142,0.003,-0.482,0.496,-1.288,-1.315,-0.829,-1.014,-1.158,0.974,0.206,-2.29,-1.09,3,3,1,1,1,1,4,3,1,1,1,1
dangerous jobs so taking any revisions can can,-1.701,-1.583,-1.593,-1.454,-0.896,-1.065,-2.434,-2.018,1.179,0.911,-0.03,-0.164,3.196,2.678,-0.655,0.425,4,2,1,1,3,1,3,3,2,1,2,1
and there and this amount is much more than the 500 yemeni refugees and,-1.383,-1.098,-1.101,-1.113,-0.233,-0.312,-0.514,-0.94,-1.279,-0.883,-0.581,-1.262,1.287,1.855,-1.94,-1.2,4,3,1,2,2,1,3,2,1,1,1,1
yeah so,0.496,-0.49,0.896,0.025,1.308,0.788,0.646,-0.755,-1.475,-1.219,-1.482,-1.305,-0.541,-0.857,-2.146,-1.536,3,3,1,1,1,1,3,3,1,1,2,1
like if there are refugees coming over to Korea because they,-1.446,-1.169,-1.261,-1.283,-0.74,-0.999,-0.978,-1.819,-1.385,-1.254,-1.294,-1.271,-0.258,-0.238,-2.061,-1.542,3,4,2,1,1,1,3,3,1,1,1,1
geez and I would like to further I would like to further,-1.288,-0.821,-1.118,-1.175,1.586,-0.154,-0.521,-1.084,-0.569,2.598,-0.49,-1.172,11.882,5.129,0.071,-0.383,3,3,1,1,2,1,3,3,1,1,1,1
well since this is my final remarks I,-1.005,-0.648,-0.73,-0.995,-0.658,-0.848,-1.339,-1.192,-1.303,-1.124,-0.832,-0.544,0.318,-0.029,-1.002,-0.981,3,3,1,1,2,1,3,3,1,1,1,1
you're actually a bad person but not lying not for not allowing them to be in here and,-1.562,-1.207,-1.493,-1.384,-0.858,-1.089,-2.631,-1.839,-1.208,-1.327,-1.066,-1.073,0.012,-0.077,-0.753,-1.148,3,3,1,1,1,1,3,2,1,1,3,1
your daily with Lexa T is like it's not it's not if they're not clear for an hour so,-1.073,-0.358,-0.717,-1.143,1.163,2.592,0.507,-0.756,-1.55,-1.41,-1.392,-1.347,-0.225,0.152,-1.357,-1.823,3,3,1,1,1,1,3,3,1,1,2,1
should be guaranteed those humanitarian issues like they're eating sand clothing,-1.419,-0.401,-0.297,-0.567,-0.738,-0.823,-1.31,-1.02,-1.331,-1.22,-1.314,-1.129,3.4,-0.776,1.123,-1.33,3,3,1,1,2,1,3,3,2,1,1,1
also like he talked about the image making image set image of Korea could be damaged by,-1.47,-1.023,-1.33,-1.174,0.459,-0.559,-1.941,-1.125,-1.586,-1.359,-1.455,-1.255,-1.123,-1.136,-2.328,-1.771,3,2,1,1,1,1,3,3,2,1,2,1
they would start to Korea they would have the Korean mushroom tea and everything that comes with it,-1.558,-1.379,-1.494,-1.383,-0.236,-0.861,-0.944,-1.771,-1.535,-1.442,-1.511,-1.352,-0.308,-0.721,-2.264,-1.638,3,4,2,2,2,1,3,2,2,1,1,1
Constitution against humble yes so,-1.624,-1.476,-1.579,-1.359,-0.887,-1.184,-1.393,-1.843,-1.638,-1.509,-1.377,-1.411,-0.761,-0.947,-2.765,-1.988,4,4,2,1,1,1,3,3,1,1,1,1
Koreans are not letting them because they think they are racist and rapists and,-1.244,-0.924,-1.456,-1.338,-0.881,-1.003,-0.921,-1.544,-1.59,-1.525,-1.571,-1.411,-0.722,-1.133,-1.362,-1.839,3,3,1,1,1,1,4,2,1,1,2,1
and the gospel others but I think it's more important to look after our,0.662,1.079,-0.573,-0.936,1.763,-0.045,-0.229,-0.892,-1.542,-1.413,-0.88,-1.205,0.03,-0.046,-2.753,-1.88,2,3,2,1,2,1,3,3,2,1,2,1
okay so if I'm I'm for immigration I guess so,-1.536,-1.035,-1.458,-1.302,-0.39,-0.932,-1.65,-1.618,-1.048,-0.936,-1.032,-1.121,0.967,0.82,-0.592,-1.011,3,3,2,1,2,1,2,3,2,1,2,1
Nation probably did not prepared for this dramatic increase and,-1.56,-1.465,-1.315,-0.229,-0.921,-0.731,-0.808,-1.769,-0.812,0.207,-1.048,-0.978,0.759,2.315,-1.802,-1.31,2,2,1,2,2,1,3,3,1,1,1,1
with the hounds or J don't wash your hair properly so they can affect how people,-1.539,-1.1,-1.474,-1.369,-0.59,-0.981,-0.625,-1.729,0.352,0.233,0.902,-0.533,6.014,4.932,-0.127,-1.07,2,3,2,1,1,1,2,3,2,1,2,1
countries I do believe Korea is very,-1.197,-0.723,-0.784,-1.285,1.144,2.559,-0.426,-1.057,-0.826,-0.705,-1.093,-1.007,0.359,-0.297,-0.718,-1.209,2,3,1,1,1,1,3,3,1,1,1,1
Jeju Allah first of all I want to mention that the current,-0.815,-0.863,-0.997,-0.761,-0.581,-0.428,0.334,-1.033,-1.468,-1.423,-1.399,-1.324,-0.606,-0.812,0.359,-1.819,2,3,1,1,1,1,3,3,1,1,2,1
or different because,-1.083,-1.278,-1.209,-1.052,-0.034,-0.444,-0.744,-1.631,-1.627,-1.477,-1.296,-1.356,-0.821,-1.181,-2.863,-2.016,3,4,2,1,1,1,3,3,1,1,1,1
only the extremist why isn't there any Christian extremist who do that throw stones,-0.706,-0.251,-0.809,-0.6,2.128,2.795,0.168,-0.579,-1.271,-1.367,-1.375,-1.216,0.559,0.023,0.758,-1.222,2,3,2,1,2,1,2,3,2,1,1,1
that has and also to compare to another country,-1.28,-1.568,-1.166,-1.225,0.393,0.208,0.357,-0.949,-1.272,-1.033,-0.884,-1.183,0.298,0.489,-1.068,-1.451,2,3,1,1,1,1,3,4,1,1,2,1
can explain in this question and I think like all Korean maybe,-1.388,-1.082,-1.409,-1.285,-0.039,-0.326,-0.153,-1.513,-1.581,-1.62,-1.502,-1.426,-0.017,-0.199,-2.422,-1.933,3,3,1,1,1,1,3,4,2,1,2,1
to educate the people prior to this,-0.228,-0.166,-0.192,0.281,-0.275,-0.512,0.687,-0.539,-1.285,-1.386,-1.416,-1.235,-0.614,-0.894,-2.493,-1.628,3,3,1,1,1,1,4,3,1,1,2,1
staff also lawful and fair processes,1.168,1.715,1.074,1.227,0.549,1.932,0.922,0.07,-1.024,-0.676,-1.393,-1.205,13.583,-0.581,-0.654,-1.268,3,3,1,1,2,1,3,3,1,1,2,1
we are doing everything that is legal,-1.16,-0.577,-1.071,-0.798,-0.533,-0.68,-0.845,-0.907,-0.846,-0.969,-1.004,-0.715,1.036,1.405,-0.24,-0.69,3,3,1,1,2,1,3,3,1,1,2,1
and it also means that they just escaped,0.12,0.775,0.218,-0.769,10.311,4.695,0.419,0.077,-1.108,-0.901,-1.128,-1.259,-0.321,-0.756,-0.783,-1.761,3,3,1,1,2,1,2,3,2,1,2,1
I understand your idea but I think the case of USA,-0.106,-0.52,-0.926,0.016,2.788,1.515,1.314,-0.568,1.319,0.396,-0.879,-0.358,1.503,0.437,0.313,1.512,3,3,1,1,3,1,2,3,1,1,2,1
to say so if it's for my opinion are go men,-0.825,0.747,-0.998,-1.007,2.189,3.144,0.249,0.817,-1.007,-1.252,-1.318,-1.196,0.183,-0.57,-1.239,-1.741,4,3,1,1,1,1,3,3,2,1,2,1
and it's not good for the image also yeah and to,-1.485,-1.351,-1.35,-1.392,0.147,0.042,-0.76,-1.51,-1.569,-1.469,-1.286,-1.261,-0.126,-0.353,-0.865,-1.725,3,4,1,1,2,1,3,3,1,1,2,1
can come in so from now on it illegal and second,-0.451,0.283,-0.963,-0.845,4.14,2.005,0.595,-0.397,-1.542,-1.572,-1.4,-1.36,-0.781,-0.937,-2.796,-1.994,2,3,1,1,2,1,3,3,1,1,1,1
and culturally and to suddenly turn our backs on these refugees for in Desperate,-1.434,-1.304,-1.119,-1.206,0.563,0.389,-0.843,-1.612,-1.08,-0.946,-0.931,-1.117,0.957,0.101,-0.679,-1.196,3,3,2,1,2,1,3,3,1,1,2,1
man and five Koreans were five Korean people were brokers who,-1.349,-1.347,-1.409,-1.332,-0.408,-0.51,-0.41,-1.478,-1.647,-1.439,-1.568,-1.384,-0.801,-0.924,-2.584,-2.035,3,3,1,1,1,1,3,3,1,1,1,1
for Jeju Island as I know like there are not many like young people who stays in,-1.467,-1.399,-1.456,-1.305,0.054,-0.744,-2.762,-1.836,-1.583,-1.574,-0.47,-1.34,-0.178,-0.472,-3.049,-2.032,2,3,2,1,1,1,2,3,2,1,2,1
only lived in a very small number of people I think it's around 500 and even with that small,0.019,-0.387,-0.997,-0.808,0.315,-0.292,-0.394,-1.092,-1.645,-1.243,-1.542,-1.314,-1.018,-1.272,-2.196,-1.714,3,3,2,1,1,1,3,3,2,1,2,1
so for the first point of argument is that,-1.289,-1.381,-1.435,-1.316,-0.006,-0.515,0.248,-1.583,-1.454,-1.526,-1.498,-1.344,-0.839,-0.999,-1.171,-1.855,3,4,1,1,1,1,3,3,1,1,1,1
them is okay for people to actually get used to their culture and all,-1.497,-1.55,-1.407,-1.317,-0.572,-0.787,-3.028,-2.022,-1.378,-0.988,-1.452,-1.326,-0.562,-0.771,0.006,-0.267,3,3,1,2,1,1,3,3,1,2,1,1
are aside from that there are many problems in Korea as well which are,-1.476,-1.066,-1.455,-1.304,-0.946,-1.238,-1.683,-1.894,-1.59,-1.576,-1.527,-1.414,-0.872,-1.086,-0.468,-1.648,2,3,1,1,1,1,3,3,1,1,1,1
and well of course as I mentioned over and,0.658,0.469,-0.516,-0.339,0.516,-0.491,0.316,-0.624,-1.402,-1.268,-1.258,-1.168,0.555,-0.033,0.357,-1.366,3,3,1,1,2,1,3,3,1,1,1,1
only has to accept like 550 refugees which is a very small portion compared to what,-1.292,-1.211,-1.316,-1.266,0.551,-0.332,-0.192,-1.569,-0.903,-0.861,-1.25,-1.189,-0.245,-0.401,0.146,-1.866,3,4,1,1,1,1,3,3,1,1,1,1
I think in a condemnation tore,-1.215,-0.59,-1.263,-1.068,-0.557,-0.43,-1.419,-0.159,-1.513,-0.744,-1.563,-1.372,-0.383,-0.992,-1.368,-1.729,3,3,2,2,2,1,3,3,1,1,1,2
and Korean people because Vietnam and Korea are both,-1.104,-1.084,-1.172,-1.303,1.219,0.811,1.138,-0.929,1.77,2.522,2.57,1.687,9.435,10.112,0.891,-0.309,2,3,1,1,2,1,3,3,1,1,2,1
the SS right away sir topics now first,-1.465,-1.272,-1.484,-1.336,-0.299,-0.795,-1.462,-1.819,-1.432,-1.221,-1.222,-1.32,-0.115,-0.021,-1.311,-1.141,4,4,2,1,3,1,3,4,2,1,2,1
security of locals when we accepted at least to the Jeju Island or there enough,-1.428,-1.164,-1.453,-1.167,-0.671,-0.819,-1.673,-1.819,-0.88,-0.911,-0.951,-1.085,1.512,0.982,-0.164,-1.228,2,3,1,1,1,1,3,3,1,1,2,1
tourists is affected like tourists Jeju Island to is going to judge you island is affected,-0.953,-1.085,-1.209,-0.98,0.715,0.596,0.164,-1.372,-1.327,-0.552,-1.348,-1.228,0.826,-0.436,0.645,-0.554,3,3,1,2,2,1,3,3,1,1,1,1
yes so I think we should consider accepting them in systematic,-1.635,-1.535,-1.595,-1.425,-0.69,-1.102,-2.224,-1.825,-1.122,-1.097,-1.15,-1.14,0.048,-0.888,0.566,-1.451,4,3,1,2,2,1,3,3,1,1,1,1
call diversity and secondly some people worried for,0.904,-0.351,2.429,2.576,3.588,2.445,1.57,0.053,-0.805,-0.348,-1.192,-0.678,1.29,0.375,0.719,-0.497,2,3,1,1,2,1,3,3,1,1,2,1
