new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
we are doing everything that is legal,560,2,2,0,0,1,0,560,2,2,0,0,1,0,-1.16,-0.577,-1.071,-0.798,-0.533,-0.68,-0.845,-0.907,-0.846,-0.969,-1.004,-0.715,1.036,1.405,-0.24,-0.69
in terms of examining the people and making sure that the right people,565,2,2,0,0,0,0,565,2,2,0,0,1,0,0.941,0.079,-0.005,-0.112,1.388,0.333,1.661,0.669,-1.371,-1.298,-1.384,-1.21,-0.424,-0.311,0.469,-1.828
but you cannot say that the attitude of unpreparedness,570,2,2,0,0,0,0,570,2,2,0,0,1,0,-0.552,-0.201,-0.796,-0.924,-0.451,-0.791,0.701,-0.643,-1.179,-0.64,-1.197,-1.154,0.758,0.057,0.25,-1.282
it's wrong and that this is the natural reaction of the people in Korea,575,2,2,0,0,0,0,575,2,2,0,0,1,0,-1.025,-0.722,-0.375,-0.727,-0.478,-0.873,-0.632,-0.832,-1.485,-1.521,-1.31,-1.328,-0.399,-0.4,-0.708,-1.538
you have to accept that I think,580,2,2,0,0,1,0,580,2,2,1,0,0,0,-0.552,-0.796,-0.408,-0.959,-0.703,-0.81,0.127,-0.563,-1.288,-1.182,-1.409,-1.269,-0.454,-0.434,0.223,-1.534
someone here are you,585,2,2,0,0,1,0,585,2,2,0,0,0,0,-0.017,0.213,0.889,-0.419,-0.304,-0.334,-1.133,0.662,-0.793,-0.767,-1.43,-1.179,-0.456,-0.101,0.157,-1.438
okay,590,2,2,0,0,1,0,590,2,2,0,0,0,0,-0.931,-0.754,-0.335,-0.965,-0.746,-0.458,0.179,-0.578,-0.726,0.169,-0.859,-0.588,1.27,1.17,0.636,-0.162
so,595,2,2,0,0,1,0,595,2,2,0,0,0,0,-0.3,-0.851,0.229,-0.492,-0.069,-0.101,0.276,0.072,-0.965,-0.017,-0.254,-0.815,3.613,3.446,2.045,0.046
well since this is my final remarks I,600,2,2,0,0,1,0,600,2,2,0,0,0,0,-1.005,-0.648,-0.73,-0.995,-0.658,-0.848,-1.339,-1.192,-1.303,-1.124,-0.832,-0.544,0.318,-0.029,-1.002,-0.981
just want to mention it briefly about the whole argument of myself so I do,605,2,2,0,0,1,0,605,2,2,0,0,0,0,-0.938,-0.813,-0.809,-0.787,-0.676,-0.666,-0.684,-1.042,-0.962,-1.063,-0.927,-0.806,0.157,0.054,-0.47,-1.192
think that we have to accept more I mean at least in this case you have to,610,2,2,0,0,1,0,610,2,2,0,0,0,0,-0.538,1.131,-0.133,-0.685,0.304,0.066,0.873,0.261,-0.483,-0.762,-0.229,-0.789,0.356,0.231,0.364,-1.406
accept or after the thorough examination we have to accept this Romanian refugees arrived in Jeju Island,615,2,2,0,0,1,0,615,2,2,0,0,0,0,-0.785,-0.835,-0.67,-1.089,-0.725,-0.905,-0.47,-0.036,-1.041,0.869,-1.149,-0.735,0.639,0.05,1.345,-0.577
and well of course as I mentioned over and,620,2,2,0,0,1,0,620,2,2,0,0,0,0,0.658,0.469,-0.516,-0.339,0.516,-0.491,0.316,-0.624,-1.402,-1.268,-1.258,-1.168,0.555,-0.033,0.357,-1.366
over again it's all based on Refugee Convention as we have signed in 1994,625,2,2,0,0,1,0,625,2,2,0,0,0,0,-0.454,-0.726,-0.508,-0.236,-0.086,-0.277,0.026,0.713,-1.013,-0.961,-0.977,-0.708,0.475,1.296,0.809,-0.095
it is our promise to the international Society at that we are going to accept the refugees,630,2,2,0,0,1,0,630,2,2,0,0,0,0,-0.749,-0.637,-0.524,-0.922,-0.095,0.315,0.629,-0.988,-0.11,0.142,0.171,0.744,3.368,3.494,1.095,1.635
then it is also it's not really one-sided it's intervene a fishery for example if something happens,635,2,2,0,0,1,0,635,2,2,0,0,0,0,-0.635,-0.079,-0.371,-0.69,-0.478,-0.464,-0.05,-0.429,-0.885,-0.968,-0.627,-0.592,0.282,0.202,-0.305,-0.686
in Korea and if Korean people is case South Korea for,640,2,2,0,0,1,0,640,2,2,0,0,0,0,1.21,0.157,1.069,-0.141,-0.108,-0.043,-0.82,0.658,-1.344,-1.492,-1.243,-1.343,-0.511,-0.533,-0.991,-1.527
areas of different reasons about the threats well we redo,645,2,2,0,0,1,0,645,2,2,0,0,0,0,-0.213,1.785,-0.065,-0.318,-0.464,0.115,0.381,-0.345,-1.212,-0.931,-1.435,-1.316,-0.251,-0.53,-1.807,-1.591
it's packed that other nations who scientists fashion except ourselves,650,2,2,0,0,1,0,650,2,2,0,0,0,0,-0.101,-0.166,0.09,-0.659,-0.304,-0.445,1.272,-0.33,-1.504,-1.269,-1.56,-1.332,-0.752,-0.982,-2.526,-1.722
as a refugee and just like we may accept,655,2,2,0,0,1,0,655,2,2,0,0,0,0,-0.041,0.247,-0.175,0.119,0.16,-0.492,0.251,-0.977,-1.513,-0.454,-1.38,-1.146,-0.665,-0.723,-2.107,-1.31
this your minion work which is right now in the southern coast of 2018 so yeah,660,2,2,0,0,1,0,660,2,2,0,0,0,0,-1.035,-0.74,-0.661,-0.796,-0.178,-0.675,-0.213,-1.321,-1.373,-1.284,-1.548,-1.306,-0.707,-1.081,-1.385,-1.658
I do urge them you have to assign more and more research has to this Romanian refugees at least,665,2,2,0,0,1,0,665,2,2,0,0,0,0,0.137,0.034,1.2,1.567,-0.009,0.284,-0.289,0.588,-1.254,-1.493,-1.406,-1.231,-0.343,-0.854,-0.973,-1.519
and of course it should be all based on the legal legal boundary we have to,670,2,2,0,0,1,0,670,2,2,0,0,0,0,-0.724,0.934,-0.309,-0.814,-0.677,-0.343,-0.31,0.484,-1.419,-0.917,-1.407,-1.276,-0.443,-0.883,-0.958,-1.411
examine their urgent needs and whether they are really in threat in there,675,2,2,0,0,1,0,675,2,2,0,0,0,0,0.756,0.078,0.85,0.05,-0.019,-0.24,0.075,-0.362,-1.313,-1.177,-1.484,-1.303,-0.342,-0.837,-0.77,-1.924
but yeah in that process those refugees,680,2,2,0,0,1,0,680,2,2,1,0,0,0,-0.921,-0.903,-0.766,-0.536,-0.734,-0.613,0.524,-0.696,-0.369,-0.698,-1.303,-1.168,-0.546,-1,-1.342,0.089
should be guaranteed those humanitarian issues like they're eating sand clothing,685,2,2,0,0,1,0,685,2,2,1,0,0,0,-1.419,-0.401,-0.297,-0.567,-0.738,-0.823,-1.31,-1.02,-1.331,-1.22,-1.314,-1.129,3.4,-0.776,1.123,-1.33
staff also lawful and fair processes,690,2,2,0,0,1,0,690,2,2,0,0,1,0,1.168,1.715,1.074,1.227,0.549,1.932,0.922,0.07,-1.024,-0.676,-1.393,-1.205,13.583,-0.581,-0.654,-1.268
all,695,2,2,0,0,0,0,695,2,2,0,0,1,0,1.058,3.249,2.905,0.414,0.467,1.07,-0.535,0.923,-0.601,0.167,-1.435,-1.276,24.768,-0.755,-0.638,-0.572
right overall once again I want to repeat that I'm,700,2,2,0,0,0,0,700,2,2,1,0,1,0,-0.758,-0.26,-0.209,1.413,-0.496,0.054,-1.577,-0.32,-0.419,0.341,-0.817,-0.763,11.069,2.182,-0.251,-1.227
against accepting the refugees currently in Jeju for entering America,705,2,2,0,0,0,0,705,2,2,1,0,1,0,1.772,4.127,4.703,0.612,0.543,0.428,3.35,2.891,-1.179,-1.081,-1.375,-1.201,7.699,-0.499,-1.183,-1.761
and although the Korea Korea has signed a petition,710,2,2,0,0,0,0,710,3,2,1,0,1,0,0.067,-0.407,0.057,0.481,0.118,-0.216,-0.88,1.108,-1.462,-0.944,-1.287,-1.207,4.908,0.482,-0.242,-1.638
okay so the reason why she's just drove for,5,1,2,0,1,1,0,5,2,3,0,0,1,0,-1.381,-1.461,-1.561,-1.379,-0.42,-1.04,-2.64,-1.855,-1.308,-1.15,-1.47,-1.368,-0.96,-1.084,-1.532,-1.616
accepting these refugees because I was also and us before and then,10,1,2,0,1,1,0,10,2,3,0,0,2,0,-1.534,-1.404,-1.491,-1.382,-0.895,-1.148,-2.295,-1.951,-1.148,-1.288,-1.486,-1.275,-0.633,-0.648,-1.953,-1.287
you know even even us it's one of the country that says a lot of refugees from other countries,15,1,2,0,1,1,0,15,2,3,1,0,1,0,-1.629,-1.619,-1.553,-1.439,-0.841,-1.221,-2.481,-1.958,-1.557,-1.315,-1.55,-1.325,-0.691,-0.938,-2.436,-1.759
than as a foreigner stare like there I was in a,20,1,2,0,1,1,0,20,2,3,0,0,2,0,-1.553,-1.405,-1.455,-1.246,-0.792,-0.979,-2.226,-1.504,-1.543,-0.938,-1.465,-1.193,-0.678,-0.601,-1.779,-1.522
university called pencil pencil and then there are a lot of,25,1,2,0,1,1,0,25,2,3,0,0,2,0,-1.513,-1.411,-1.5,-1.324,-0.79,-1.119,-2.782,-2.025,-1.186,-0.992,-1.346,-1.215,-0.813,-0.655,-0.216,-1.44
international students and there are a lot of there were a lot of friends who,30,1,1,0,0,1,0,30,2,3,0,0,2,0,-1.683,-1.488,-1.539,-1.439,-0.637,-1.094,-2.665,-1.972,-0.678,-1.038,-1.092,-0.806,-0.111,-0.603,0.283,-0.854
are from like those Arab or like near Arab countries,35,1,1,0,0,1,0,35,2,3,0,0,2,0,-1.559,-1.024,-0.942,-1.258,-0.176,-0.543,-0.969,-1.527,-1.118,-1.405,-1.304,-0.83,0.225,-0.609,0.308,-1.571
and see like they have a,40,1,1,0,0,1,0,40,2,3,0,0,2,0,-1.658,-1.47,-1.57,-1.371,-1.03,-1.283,-2.767,-2.009,-1.09,-0.957,-1.346,-1.075,0.415,-0.264,-0.425,0.473
lot of issues about getting B's as and getting deported from the country,45,1,1,0,0,1,0,45,2,2,0,0,2,0,-1.682,-1.308,-1.594,-1.404,-1.071,-1.257,-3.037,-2.067,-0.932,-1.282,-1.366,-1.221,-0.536,-0.938,-0.749,-1.041
that was the beginning of this empathy,50,2,1,0,1,1,0,50,2,2,0,0,2,0,-1.64,-1.549,-1.606,-1.382,-0.971,-1.276,-2.736,-2.039,-1.303,-1.038,-1.266,-1.249,-0.541,-0.692,-0.115,-1.535
about this issue,55,2,1,0,1,1,0,55,2,2,0,0,2,0,-1.692,-1.514,-1.594,-1.413,-1.015,-1.222,-2.192,-1.832,-1.52,-1.279,-1.428,-1.299,-0.861,-1.043,1.069,-1.79
the painting is that not accepting all these refugees,60,1,1,0,1,1,0,60,2,2,0,0,2,0,-1.503,-0.88,-1.5,-1.326,-0.659,-0.872,-2.201,-1.155,-1.285,-1.556,-1.511,-1.334,-0.84,-0.998,-0.714,-1.854
of just because they are you know there are a lot of issues like safety,65,2,1,0,1,1,0,65,2,2,0,0,2,0,-1.576,-1.327,-1.407,-1.287,-0.969,-1.146,-2.438,-1.58,-1.246,-1.386,-1.201,-1.264,-0.044,-0.75,-0.881,-1.44
issues or or maybe like economic problems,70,1,1,0,1,1,0,70,2,2,0,0,2,0,-1.709,-1.455,-1.591,-1.399,-0.75,-1.113,-2.265,-1.853,-1.115,-1.073,-1.456,-1.235,-0.569,-1.072,0.01,-1.162
it's not good to generalize this people in,75,1,1,0,1,1,0,75,2,2,0,0,2,0,-1.437,-1.327,-1.557,-1.275,-0.996,-1.073,-1.745,-1.667,-1.479,-1.276,-1.473,-1.359,-1.034,-1.104,-1.921,-1.42
some way,80,2,1,1,1,1,0,80,2,2,0,0,2,0,-1.72,-1.36,-1.619,-1.452,-1.121,-1.333,-2.975,-2.066,-1.424,-1.151,-1.35,-1.237,-0.172,-0.672,-1.067,-1.199
yeah so that's kind of Baseline,85,2,1,1,1,1,0,85,2,2,1,0,2,0,-1.612,-1.373,-1.478,-1.343,-0.706,-1.107,-2.554,-1.786,-1.31,-1.066,-1.078,-0.602,-0.247,-0.437,-0.611,-1.024
begin to not generalize the certain people,90,2,1,1,1,1,0,90,2,2,0,0,2,0,-1.616,-1.267,-1.602,-1.385,-0.865,-1.118,-2.755,-2.004,-1.228,-0.881,-1.319,-1.181,-0.338,-0.452,0.201,-0.694
hey so,95,2,1,1,1,1,0,95,2,2,0,0,2,0,-1.455,-1.539,-1.585,-1.369,-0.863,-1.186,-2.368,-1.879,-1.626,-1.537,-1.52,-1.417,-0.712,-0.889,-1.466,-1.939
I'm against something is Emily refugees in Korea,100,2,1,1,1,1,0,100,2,2,0,0,2,0,-1.595,-1.136,-1.56,-1.415,-0.981,-1.168,-2.212,-1.657,-1.405,-1.434,-1.484,-1.29,-0.697,-0.961,-1.735,-1.784
generally speaking,105,2,1,1,1,1,0,105,2,2,0,0,2,0,-1.451,-1.396,-1.447,-1.344,-0.445,-0.678,-2.249,-1.671,-1.117,-1.253,-1.399,-1.371,-0.382,-0.607,-0.104,-1.322
these refugees the refugee by,110,2,2,1,1,1,0,110,1,2,1,0,0,0,-1.241,-0.66,-1.286,-0.596,-0.07,-0.619,-1.389,-1.727,-1.292,-1.154,-1.462,-0.968,-0.46,-1.027,-0.817,-0.898
the meaning of refugee is that they have some problems in their country they,115,3,2,1,1,1,0,115,1,2,1,0,0,0,-1.415,-0.409,-1.401,-1.281,0.37,-0.309,-1.319,-1.287,-1.484,-1.524,-1.443,-1.376,-0.547,-0.975,-0.861,-1.7
are endangered by certain issues related to their,120,2,2,1,1,1,0,120,1,2,1,0,1,0,-1.419,0.221,-1.002,-1.114,0.534,-0.014,1.076,-1.423,-1.085,-0.688,-1.367,-1.134,0.305,-0.541,-1.05,-0.987
religious or some political issues and these,125,3,2,1,1,1,0,125,1,2,1,0,0,0,-1.299,-1.304,-1.345,-1.216,0.536,0.103,-1.518,-1.198,-1.567,-1.562,-1.615,-1.382,-1.041,-1.212,-2.478,-1.826
yemenite yemeni refugees who came into,130,3,2,1,1,1,0,130,1,2,1,0,0,0,-1.256,-0.492,-1.24,-1.119,0.074,-0.216,0.126,0.172,-1.436,-1.282,-1.481,-1.34,-0.678,-1.037,-0.735,-1.66
Jeju Island are there,135,3,2,1,1,1,0,135,1,2,1,0,0,0,-1.47,-1.525,-1.439,-1.328,-0.357,-0.689,-1.028,-1.613,-1.18,-1.169,-1.439,-1.317,-0.648,-1.097,-0.099,-1.337
are no money not clear evidence why they came here like,140,3,2,1,1,1,0,140,1,2,1,0,0,0,-1.35,-0.687,-1.244,-1.019,1.265,0.303,-2.203,-1.688,-1.199,-1.144,-1.05,-1.028,-0.644,-0.939,0.501,-1.099
we speculate that majority have come to Korea for just,145,3,2,1,1,1,0,145,1,2,1,0,0,0,-1.515,-1.263,-1.391,-1.281,-0.077,-0.356,-1.535,-1.226,-1.338,-1.426,-1.392,-1.268,-0.516,-0.675,-2.438,-1.318
for work and they don't they didn't come,150,3,2,1,1,1,0,150,1,2,1,0,0,0,-1.404,-1.284,-1.416,-1.356,-0.287,-0.845,-1.854,-1.429,-1.624,-1.507,-1.615,-1.395,-0.96,-1.233,-2.658,-1.876
as general,155,2,2,1,1,1,0,155,1,2,1,0,0,0,-1.524,-1.295,-1.337,-1.265,-0.017,-0.607,-2.304,-1.821,-0.98,-0.626,-1.427,-1.185,-0.015,-0.342,-1.673,0.139
legitimate route Korea whether they chose to complicate their come here as,160,2,2,1,1,1,0,160,1,2,1,0,0,0,-0.98,-1.098,-1.219,-0.954,0.105,0.46,-0.942,-0.655,-1.51,-1.262,-1.539,-1.35,-1.048,-1.124,-2.204,-1.758
a refugee certainly people that really hire,165,2,2,1,1,1,0,165,1,2,1,0,0,0,-1.12,-0.943,-0.955,-0.986,0.416,1.022,1.675,-0.17,-1.498,-1.553,-1.578,-1.382,-0.945,-1.21,-2.144,-1.892
to get accepted as a refugee but,170,2,2,1,1,1,0,170,1,2,1,0,1,0,-1.411,-1.312,-1.414,-1.343,-0.53,-0.731,-0.343,-1.773,-0.874,-1.128,-1.397,-1.103,-0.164,-0.791,-1.488,-1.463
the majority I speculate that they're not,175,2,2,1,1,1,0,175,1,2,1,0,1,0,-1.348,-1.197,-1.214,-0.949,0.545,0.405,-1.014,0.427,-1.408,-1.096,-1.49,-1.28,-0.918,-1.061,-1.612,-1.35
they don't have truthful intentions so,180,2,2,1,1,1,0,180,1,2,1,0,1,0,-1.562,-1.007,-1.46,-1.302,-0.287,-0.471,-1.316,-1.489,-1.476,-0.856,-1.46,-1.273,-0.885,-1.048,-1.679,-1.634
I would and those people could cause as you have mentioned,185,2,2,1,1,1,0,185,1,2,1,0,1,0,-1.424,-1.248,-1.223,-1.212,-0.018,-0.162,-1.266,-0.435,-1.501,-1.398,-1.6,-1.412,-1.027,-1.219,-0.998,-1.717
some safety issues as well as economic issues creosote,190,2,2,1,1,1,0,190,1,2,1,0,1,0,-1.428,-1.251,-1.466,-1.329,-0.453,-0.909,0.553,-1.655,-1.078,-0.923,-1.439,-1.256,-0.507,-0.656,-1.973,-1.413
in general I am against accepting those that position,195,2,2,1,1,1,0,195,1,2,1,0,1,0,-1.267,-1.243,-0.692,-0.898,3.391,4.815,-0.846,-1.073,-1.246,-0.226,-1.276,-1.247,0.805,-0.163,-0.711,-0.818
so to mention about the safety,200,1,2,1,1,1,0,200,1,2,1,0,1,0,-1.491,-1.45,-1.44,-1.255,-0.393,-0.837,-1.531,-1.56,-1.467,-1.337,-1.568,-1.299,-0.876,-0.984,-2.125,-1.543
issues and maybe combination is first of all for the safety issues like I see,205,2,3,1,1,1,0,205,1,2,1,0,1,0,-1.374,-1.253,-1.435,-1.285,-0.739,-0.763,-0.369,-1.609,-0.714,-0.511,-0.762,-0.946,0.26,0.545,2.269,-0.751
that those people in Jeju Island they fear about those know like,210,2,3,1,1,1,0,210,1,2,0,0,1,0,-1.278,-0.634,-1.441,-1.247,0.009,-0.716,-0.708,-1.324,-1.388,-1.389,-1.508,-1.358,-0.905,-0.91,-0.737,-1.203
they might read in some way or like some,215,2,3,1,1,1,0,215,1,2,1,0,1,0,-1.412,-1.458,-1.537,-1.399,-0.487,-1.043,-2.327,-1.797,-1.093,-1.182,-1.398,-1.208,-0.345,-0.745,-0.761,-1.219
yeah many different things but from the articles that we,220,1,2,1,1,1,0,220,2,2,1,0,1,0,-1.642,-1.333,-1.491,-1.39,-0.803,-1.109,-2.923,-2.077,-0.371,-0.855,-0.717,-0.896,2.092,1.378,-0.225,-0.295
got from the email they say like they're only like six five to six,225,1,1,1,1,0,0,225,2,2,1,0,1,0,-1.281,-1.368,-1.441,-1.269,-0.228,-0.379,-2.715,-1.849,-0.94,-1.262,-1.391,-1.226,-0.304,-0.44,0.715,-0.93
incidents while more than half was about due to their,230,1,1,1,1,0,0,230,2,2,1,0,1,0,-1.516,-1.425,-1.381,-1.196,-0.542,-0.944,-1.721,-1.693,-0.92,-0.791,-1.267,-1.113,0.06,-0.227,-0.411,-1.081
over it imagination just because it's there,235,1,1,1,1,0,0,235,2,2,1,0,1,0,-1.12,-1.03,-1.417,-1.086,0.517,-0.422,-1.057,-1.234,-1.001,-0.951,-1.086,-0.688,1.852,0.637,-1.401,-0.75
and it's I think that's kind of typical,240,1,1,1,1,0,0,240,2,2,1,0,1,0,-1.601,-1.48,-1.558,-1.37,-0.728,-1.114,-0.773,-1.712,-1.162,-1.27,-1.351,-1.34,-0.28,-0.399,-1.733,-1.432
reaction due to the xenophobia or they don't like,245,1,1,1,1,0,0,245,2,2,1,0,1,0,-1.445,-1.125,-1.458,-1.31,-0.423,-0.712,-1.271,-1.206,-1.077,-0.942,-1.196,-1.066,-0.12,-0.439,-1.188,-0.804
people coming in and especially Korea is one of the country that,250,2,1,1,1,0,0,250,2,2,1,0,1,0,-1.213,-1.195,-1.465,-1.234,-0.576,-0.99,-1.871,-1.845,-1.532,-1.242,-1.545,-1.355,-0.876,-1.023,-2.659,-1.908
just lights like pure Koreans and I think,255,2,1,1,1,0,0,255,2,2,1,0,1,0,-1.597,-1.387,-1.505,-1.324,-0.599,-1.053,-1.95,-1.559,-1.519,-0.906,-1.351,-1.239,-0.13,-0.544,-1.605,-1.306
you know this behavior of,260,2,1,1,1,0,0,260,2,2,1,0,1,0,-1.378,-0.783,-1.412,-1.186,-0.453,-0.99,-1.846,-1.58,-1.218,-0.969,-1.258,-1.099,0.773,0.203,0.102,-1.291
suspect suspicious being suspicious about,265,2,1,1,1,0,0,265,2,2,1,0,1,0,-1.431,-1.296,-1.423,-1.327,-0.377,-1.023,-1.466,-1.614,-1.519,-1.08,-1.437,-1.293,-0.264,-0.786,-1.392,-1.4
those people just because they're like,270,2,1,1,1,0,0,270,2,2,1,0,1,0,-1.245,-0.98,-1.501,-1.331,-0.701,-1.019,-1.462,-1.565,-1.158,-0.743,-1.399,-1.291,-0.16,-0.946,-1.176,-1.675
refugees to just blame them as like a you know they,275,2,1,1,1,0,0,275,2,2,1,0,1,0,-1.62,-1.217,-1.563,-1.347,-0.792,-0.99,-2.226,-1.574,-1.514,-1.307,-1.307,-1.162,-0.034,-0.254,-1.626,-1.27
might do this they might do the bad things I think there,280,1,1,1,1,0,0,280,2,2,1,0,1,0,-1.535,-1.516,-1.586,-1.327,-0.413,-1.045,-2.907,-1.876,0.191,-0.062,-0.691,-0.674,0.781,0.463,0.3,-0.697
is not enough,285,1,1,1,1,0,0,285,2,2,1,0,1,0,-1.565,-0.913,-1.492,-1.167,-0.909,-1.016,-1.898,-1.225,-1.462,-1.158,-1.371,-1.16,-0.4,-0.187,-0.704,-1.73
TRUE for say like a lot of,290,2,1,1,1,0,0,290,2,2,1,0,1,0,-1.552,-1.291,-1.512,-1.382,-0.877,-1.174,-2.718,-1.732,-1.265,-0.974,-1.285,-1.189,-0.28,-0.39,0.215,-1.556
incidents that really proves that they're the bad guys that affects,295,1,1,1,1,0,0,295,2,2,1,0,1,0,-1.29,-0.892,-1.399,-1.152,-0.36,-0.789,-0.745,-1.431,-1.431,-1.238,-1.022,-1.2,-0.431,-0.766,-0.427,-1.471
Jeju people Worst Behavior,300,1,1,1,1,0,0,300,2,2,1,0,1,0,-1.147,-1.486,-1.391,-1.243,0.146,-0.608,-0.969,-1.132,-0.868,-0.377,-1.098,-0.975,0.477,-0.118,-1.488,-1.072
I'll just okay,305,1,1,1,1,0,0,305,2,1,1,0,2,0,-1.485,-1.228,-1.408,-1.355,-0.69,0.276,-1.091,-1.776,-1.424,-1.168,-1.345,-1.304,-0.498,-0.581,-2.109,-1.499
so talking about proof that's very important of course we don't have any proof,310,2,1,1,1,0,0,310,2,1,0,0,2,1,-1.238,-0.514,-1.164,-1.073,-0.01,0.113,-1.926,-1.216,-1.352,-1.303,-1.424,-1.395,-1.009,-1.002,-1.517,-1.557
that they will do something they will commit a crime in Korea but,315,1,1,1,1,0,0,315,2,1,0,0,2,1,-1.32,-1.372,-1.341,-0.996,0.351,0.264,-1.184,-1.384,-1.533,-1.425,-1.542,-1.374,-1.047,-1.169,-1.408,-1.935
we should be more cautious from the beginning,320,1,1,1,1,0,0,320,2,1,0,0,2,1,-1.154,-0.334,-0.877,-0.827,0.728,0.158,-0.444,-0.515,-1.311,-0.843,-1.49,-1.134,-0.732,-0.91,-1.629,-1.535
before something happens so it's not bad think to,325,1,1,1,0,0,0,325,2,1,0,0,2,1,-1.562,-1.297,-1.453,-1.305,-0.496,-0.919,-0.341,-1.643,-1.436,-1.079,-1.448,-1.275,-0.904,-0.961,-1.627,-1.798
be cautious in these what could be a greater issue in the future,330,1,1,1,0,0,0,330,2,1,0,0,2,1,-1.275,-1.215,-1.339,-1.301,0.038,-0.41,-1.073,-1.446,-1.394,-1.035,-1.3,-1.028,0,-0.52,-1.919,-1.189
after the well then discard really takes place also,335,2,1,1,0,0,0,335,2,2,1,0,1,0,-1.202,-0.924,-1.324,-1.165,0.21,-0.316,-0.173,-1.855,-1.063,-1.513,-1.481,-1.22,-0.902,-1.019,-2.35,-1.343
when upon accepting these refugees,340,2,1,1,0,0,0,340,2,2,1,0,1,0,-0.935,-1.187,-1.326,-1.138,0.291,0.427,-0.159,-1.517,-1.232,-1.026,-1.383,-1.231,-0.671,-0.832,-0.994,-1.551
much more refugees will try to come to Korea and,345,2,2,1,0,0,0,345,2,2,1,0,1,0,-1.427,-1.463,-1.196,-1.188,0.541,-0.485,-0.176,-0.811,-1.168,-1.354,-1.466,-1.245,-0.789,-0.658,-1.754,-1.344
actually in case of Germany they have already experienced,350,2,2,1,0,0,0,350,2,2,1,0,1,0,-1.425,-1.251,-1.385,-1.278,-0.525,-0.354,-1.411,-1.717,-1.07,-1.137,-1.417,-1.312,-0.752,-0.965,-0.802,-1.55
this issue and they they have accepted nearly like 1,355,2,2,1,0,0,0,355,2,2,1,0,1,0,-1.223,-1.27,-1.248,-1.303,0.387,-0.107,-1.54,-1.598,-1.371,-1.504,-1.519,-1.32,-0.501,-1.046,-0.918,-1.498
million refugees already and they are causing social and economic,360,2,2,1,0,0,0,360,2,2,1,0,1,0,-1.379,-0.856,-1.48,-1.392,-0.242,-0.582,-1.568,-1.633,-1.103,-1.098,-1.258,-1.199,-0.518,-0.736,-0.503,-0.646
problems so they already regret it,365,2,2,1,0,0,0,365,2,2,1,0,1,0,-1.632,-1.429,-1.522,-1.379,-0.276,-0.943,-1.284,-1.743,-1.382,-1.301,-1.422,-1.235,-0.667,-0.905,-1.229,-1.486
but it's already it's already happened so they can't do anything about it,370,1,2,1,0,0,0,370,2,2,1,0,1,0,-1.343,-1.146,-1.373,-1.188,0.177,-0.191,-0.914,-1.606,-1.548,-1.378,-1.501,-1.319,-0.592,-0.96,-2.167,-1.515
so thank talked about proof again,375,2,2,1,0,0,0,375,2,2,1,0,1,0,-1.495,-1.242,-1.404,-1.333,0.235,-0.718,-2.151,-1.867,-1.331,-1.202,-1.212,-1.234,-0.397,-0.898,-0.248,-1.36
I really strongly recommend would think that those,380,2,2,1,0,0,0,380,2,2,1,0,1,0,-0.525,-0.93,-0.835,-0.585,1.085,0.98,-0.369,-0.21,-1.358,-0.679,-1.492,-1.229,-0.516,-0.92,-0.589,-1.65
refugees need to bring in their own proof that they are legitimate people,385,1,2,1,0,0,0,385,2,2,1,0,1,0,-1.176,-1.192,-1.411,-1.338,-0.316,-0.751,-0.853,-1.739,-1.433,-1.372,-1.482,-1.273,-0.791,-0.786,-1.586,-1.624
who have been in your advice and issues and,390,1,2,1,0,0,0,390,2,2,1,0,1,0,-1.384,-1.174,-1.388,-1.325,-0.432,-0.807,-1.274,-1.359,-0.88,-1.297,-1.299,-0.897,-0.225,-0.456,-1.392,-1.429
that they are they want to they want help from Korea and they want to contribute,395,2,2,1,0,0,0,395,2,2,1,0,1,0,-1.477,-1.48,-1.558,-1.417,-0.943,-1.037,-2.154,-1.781,0.085,0.259,-0.074,-0.56,8.655,7.875,2.213,-0.511
to creating some way okay so you saying that there should be some way,400,1,2,1,0,0,0,400,2,2,0,0,2,0,-1.571,-1.433,-1.424,-1.295,-0.47,-0.958,-2.228,-1.566,-1.547,-1.331,-1.448,-1.254,-0.658,-0.557,-0.177,-1.725
to kind of filter on this like actual refugees right I also agree with the,405,1,2,1,0,0,0,405,2,2,0,0,2,0,-0.399,-0.907,-0.985,-0.603,1.117,1.169,0.793,-1.037,-1.239,-1.515,-1.45,-1.34,-0.277,-0.562,-0.592,-1.535
point like there should be some like strict regulation that actually built,410,1,2,1,0,0,0,410,2,2,0,0,2,0,-1.095,-0.575,-1.36,-1.14,-0.131,-0.114,-1.003,-0.078,-0.617,-1.331,-1.333,-1.185,-0.048,-0.274,2.048,-0.533
out for filters out those fake Ravens refugees but then,415,2,2,1,0,0,0,415,2,2,0,0,2,0,-1.511,-1.234,-1.507,-1.259,-0.05,-0.406,-2.428,-1.174,-1.085,-1.228,-1.32,-0.998,-0.253,-0.313,0.059,-1.115
